,Date,BranchLocation,C&FAgent,ProductCategory,ProductCode,Sales,InitialInventory,UnitsOrdered,DemandForecast,SellingPrice,Month_Year,Sales_lag,InitialInventory_lag,UnitsOrdered_lag
0,2004-01-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,16,28,0,30,915.640861372813,January 2004,,,
1,2004-02-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,23,12,13,10,915.640861372813,February 2004,16.0,28.0,0.0
2,2004-03-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,50,2,56,10,915.640861372813,March 2004,23.0,12.0,13.0
3,2004-04-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,33,8,40,20,857.86,April 2004,50.0,2.0,56.0
4,2004-05-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,90,15,195,35,857.36,May 2004,33.0,8.0,40.0
5,2004-06-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,33,120,0,15,857.47,June 2004,90.0,15.0,195.0
6,2004-07-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,26,37,33,20,857.7,July 2004,33.0,120.0,0.0
7,2004-08-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,14,44,0,20,859.64,August 2004,26.0,37.0,33.0
8,2004-09-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,0,30,125,10,915.640861372813,September 2004,14.0,44.0,0.0
9,2004-10-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,104,95,22,25,859.45,October 2004,0.0,30.0,125.0
10,2004-11-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,5,13,31,10,859.48,November 2004,104.0,95.0,22.0
11,2004-12-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,11,39,3,30,859.88,December 2004,5.0,13.0,31.0
12,2005-01-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,36,31,7,30,859.86,January 2005,11.0,39.0,3.0
13,2005-02-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,14,2,51,70,859.92,February 2005,36.0,31.0,7.0
14,2005-03-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,109,39,150,25,859.78,March 2005,14.0,2.0,51.0
15,2005-04-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,54,40,212,70,949.19,April 2005,109.0,39.0,150.0
16,2005-05-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,44,198,66,0,948.82,May 2005,54.0,40.0,212.0
17,2005-06-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,176,50,270,0,949.04,June 2005,44.0,198.0,66.0
18,2005-07-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,196,144,20,0,949.1,July 2005,176.0,50.0,270.0
19,2005-08-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,16,40,0,0,949.03,August 2005,196.0,144.0,20.0
20,2005-09-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,50,24,52,0,949.46,September 2005,16.0,40.0,0.0
21,2005-10-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,84,26,70,48,949.16,October 2005,50.0,24.0,52.0
22,2005-11-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,62,12,178,32,951.26,November 2005,84.0,26.0,70.0
23,2005-12-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,22,64,0,41,951.56,December 2005,62.0,12.0,178.0
24,2006-01-01,Alabama BRANCH,Alabama Agent1,Appliances,78665,2,42,0,40,951.64,January 2006,22.0,64.0,0.0
